utilization.gpu [%], memory.used [MiB], power.draw [W]
0 %, 959 MiB, 4.88 W
0 %, 959 MiB, 4.86 W
0 %, 959 MiB, 4.86 W
0 %, 959 MiB, 4.86 W
0 %, 959 MiB, 4.88 W
0 %, 959 MiB, 4.90 W
0 %, 959 MiB, 4.88 W
0 %, 1564 MiB, 19.24 W
0 %, 1564 MiB, 40.43 W
0 %, 1564 MiB, 39.83 W
8 %, 1638 MiB, 41.72 W
53 %, 1640 MiB, 102.88 W
52 %, 1640 MiB, 135.54 W
54 %, 1640 MiB, 135.36 W
52 %, 1640 MiB, 135.95 W
54 %, 1640 MiB, 137.23 W
53 %, 1640 MiB, 135.84 W
55 %, 1640 MiB, 137.37 W
54 %, 1640 MiB, 137.79 W
52 %, 1640 MiB, 136.43 W
55 %, 1640 MiB, 135.92 W
52 %, 1640 MiB, 136.32 W
54 %, 1640 MiB, 137.65 W
54 %, 1640 MiB, 137.29 W
55 %, 1640 MiB, 138.15 W
54 %, 1640 MiB, 138.62 W
55 %, 1640 MiB, 138.92 W
55 %, 1640 MiB, 140.43 W
55 %, 1640 MiB, 141.07 W
0 %, 959 MiB, 73.40 W
0 %, 959 MiB, 56.07 W
0 %, 959 MiB, 42.63 W
0 %, 959 MiB, 20.63 W
0 %, 959 MiB, 10.00 W
0 %, 959 MiB, 6.20 W
0 %, 959 MiB, 5.82 W
0 %, 959 MiB, 5.72 W
0 %, 959 MiB, 5.73 W
0 %, 959 MiB, 5.74 W
0 %, 959 MiB, 5.73 W
0 %, 959 MiB, 5.74 W
0 %, 959 MiB, 5.74 W
0 %, 959 MiB, 5.51 W
0 %, 959 MiB, 5.21 W
0 %, 959 MiB, 4.90 W
0 %, 959 MiB, 4.89 W
0 %, 959 MiB, 4.90 W
0 %, 959 MiB, 4.93 W
0 %, 959 MiB, 4.97 W
0 %, 959 MiB, 4.90 W
0 %, 959 MiB, 4.91 W
0 %, 959 MiB, 4.93 W
0 %, 959 MiB, 4.93 W
0 %, 959 MiB, 4.92 W
0 %, 959 MiB, 4.97 W
0 %, 959 MiB, 4.97 W
0 %, 959 MiB, 4.93 W
0 %, 959 MiB, 4.91 W
0 %, 959 MiB, 4.89 W
